"","GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue"
"MGP",3.2910011979298e-07,0.0191592861500425,2.41757224439185e-07,0.691205230020601,4.6499999847126e-05,0.907164254468301,0.00168288078640803,0.0792335733805807,0.00908806024691312,0.000707588912063476,1.3891503684027e-06,0.000446134981196335
"NDUFA11",0.0108175675862443,0.739497542485248,0.000959634608234761,0.561315808143987,6.39795817077549e-05,0.708387530447526,1.04311227166847e-05,0.253822094966712,1.08487247659439e-05,0.221263680773853,4.88259760658138e-05,0.0110835027700993
"FTL",2.81469869729406e-08,0.00109914498765566,2.14325666059126e-09,0.814920158774009,7.56781127330982e-08,0.547097034218554,4.88247707084118e-05,0.0814232186612125,0.00436400196780455,0.242937426045154,1.94045544077426e-08,9.7273468641343e-06
"SERF2",0.000265367711964067,0.194921201018828,1.97628389696359e-07,0.456046113225491,3.11558619631777e-09,0.444548569888191,4.5013905036268e-09,0.931583141325871,4.79148991312907e-08,0.321459656294145,1.75730074936098e-08,8.99663708436829e-06
"CHCHD2",4.301665507991e-05,0.0172565567945017,1.20556960746049e-05,0.946944193103212,0.000158237436707166,0.133089772903927,0.0124112800873764,0.657559117343374,0.176111352088448,0.0350201502221687,8.8752074853593e-05,0.0180979120368064
"HLA.DPB1",0.000150021432833496,0.00658849678638012,8.4756400727208e-06,0.723764851249099,6.07188281154797e-06,0.188838047878833,0.000205273825099339,0.0280444350565167,0.00795161952358566,0.820267575075719,3.39528481803075e-05,0.00793178534130519
"LOX",2.43103484171176e-07,0.0144963162052538,2.67164984886931e-10,0.974596398019134,1.30604961845764e-10,0.477638122818468,2.08942970612623e-08,0.453347722008107,2.06717166542422e-06,0.220556187836303,8.73199401674185e-10,5.75642075681645e-07
"MIEN1",2.08200231627465e-06,0.000707542257305307,8.4139026899887e-10,0.869914415505389,1.02738445677597e-09,0.56284123045406,8.63921434012494e-07,0.996137406407125,9.38036635169306e-05,0.609387951087817,4.62213134433398e-09,2.74611818896742e-06
"C1QA",3.15477306415471e-05,0.0669465284319841,1.43228246555466e-05,0.56053601929916,0.000113096461788594,0.746158444409556,0.00311587101201405,0.00822515733784841,0.0451456156309088,0.105358821269063,9.02174422576785e-05,0.0183190996671243
"APOD",4.23856172157852e-07,0.2451837903193,1.02393079790819e-09,0.907750254219776,8.61060652447435e-11,0.204915381561041,4.09048465608451e-10,0.275453381527653,9.91086159279933e-09,0.0485083213738387,6.60582144540456e-10,4.60722795882065e-07
"RPS19",7.06499447034226e-06,0.0583287082881279,6.42084379793847e-07,0.837890175875834,3.92502878054067e-07,0.851606510421006,3.85020770101382e-07,0.0132486059231118,9.96992068109748e-07,0.0205314448944543,1.27435104990692e-06,0.000414370974654437
"ALDOA",0.000249879658118778,0.0203907492164548,1.84954134893324e-06,0.514922038604376,1.24657266959349e-06,0.684492710481064,5.34283582931886e-05,0.205906438798471,0.00183261875909306,0.141540778677121,7.31959466859777e-06,0.00205763150496602
"CALD1",2.9605666800785e-05,0.308236796802218,1.68577884820154e-07,0.425079898867811,3.18727170941144e-08,0.996004861140937,3.90746211051032e-07,0.563816541455688,8.67695340493969e-06,0.981581468390808,2.49908152172296e-07,9.85785790665543e-05
"RPS11",0.000234149034327506,0.106655188175913,2.40865996335307e-05,0.315664914087764,3.82654774614852e-05,0.955613587099553,4.57323097239103e-05,0.260444647536487,4.33215690179039e-05,0.0013093475408341,8.50153612554916e-05,0.0177111754755296
"GJA1",0.000163635712319827,0.0250961993436442,1.11812401825598e-05,0.900164597940374,5.957332462884e-06,0.570684392382288,3.84559195319488e-05,0.0594553397828355,0.000424710872862391,0.303455076080753,3.42684530052484e-05,0.00796684036427422
"SH3BGRL",3.16781200423328e-09,0.000559538707569596,2.82733985470454e-10,0.940831814352889,8.41261267311516e-09,0.895501270537241,1.8202905862301e-06,0.1013117930108,7.5990521668032e-05,0.00708698459657476,2.51762211078699e-09,1.57348200348938e-06
"SLC38A2",0.0102266859274572,0.876375333219616,6.41842176441685e-05,0.555103711944944,2.97147597690776e-06,0.179351910972441,1.23650356688687e-05,0.899349882089117,7.80617187844004e-05,0.914350449853358,2.24280457130632e-05,0.00562149935400156
"TMSB4X",6.71730080950807e-13,0.0479904887707079,6.25839855001557e-17,0.948305891301182,3.33847391454354e-17,0.683264222292909,9.10712441825709e-15,0.0722676351561881,3.73653255227269e-12,0.00480335711416711,4.44089209850063e-16,1.06856805479206e-12
"EEF1A1",7.30807823992207e-06,0.152674120563418,3.31396352409838e-08,0.674891591535424,3.61650976759398e-07,0.595470234655237,0.000171803387555545,0.334865536089419,0.00544563386499688,0.0183073112781724,3.02266917162619e-07,0.000117308881151091
"LY6E",5.07214884666375e-06,0.0148230496092231,3.05563912372631e-09,0.771833550657949,1.82605518729368e-09,0.800907531125361,2.31110215242666e-07,0.886397927253193,2.13968244847756e-05,0.381428454874351,1.13705720394819e-08,6.07907926027226e-06
"MAL2",1.00388099493545e-05,0.0147448649928194,4.14576209076039e-06,0.842740087609989,1.87806582949473e-05,0.671046860166506,0.00013734666436504,0.0766868597313596,0.000598504281826925,0.00262035068938927,2.4784621883378e-05,0.00605449650284324
"BAMBI",0.000121188716908747,0.11679586014887,2.53180544394221e-05,0.903221283815069,2.09321817702958e-05,0.989595054129556,9.77547675383887e-05,0.0249113315962675,0.000641381589798204,0.15573203089727,9.32320167027489e-05,0.018507507198793
"ENSA",3.83765197518078e-07,0.0359050057776295,6.112877154553e-10,0.836664894275878,9.43012925746285e-10,0.650788018261141,7.02003976239953e-07,0.291487517398928,0.00016207716582889,0.689077280405354,3.70321284748343e-09,2.2276689351743e-06
"CXCL12",3.9134588209639e-05,0.0600798226423223,1.20427625170166e-05,0.430871356407591,0.000185609038004981,0.778244766617845,0.00377228579005341,0.743548127628536,0.0180091164902381,0.0218705939049489,8.74473628930117e-05,0.0180265815000246
"IGFBP5",2.65489854731474e-11,0.00479614092376389,1.32235267654428e-11,0.765421294795114,1.37919662847002e-08,0.923394076902627,6.91750820923509e-05,0.000879438868712097,0.00978357671017911,0.000608304570549034,8.82135475777091e-11,7.86146507325386e-08
"A2M",3.23072070067999e-05,0.065707667640644,3.51121639409878e-05,0.874350131183355,0.000411190735380711,0.671981840030534,0.00550530187757626,0.003302314654317,0.031430296668177,0.040063120799908,0.000160226829592047,0.0293184800867207
"CD24",3.4610615554667e-08,0.00109813246334293,4.58086028804912e-09,0.90297330490581,1.6896024886036e-06,0.309399614675217,0.000571335177658611,0.184121954472232,0.00865927877828615,0.000187505488205986,4.03563569228993e-08,1.86741385337334e-05
"SELM",1.92755645745266e-05,0.301842974309555,2.28902907385219e-07,0.899225049712391,5.96535046529183e-08,0.733860054934101,8.95135854268759e-08,0.490953505561888,4.53615809453339e-07,0.0484315403666443,2.89351635984758e-07,0.000113209479052635
"CST1",2.6257186953414e-05,0.0359952700239106,3.63093909641222e-06,0.975251457738167,9.12351562608106e-06,0.293742582443576,0.000820642029649894,0.0361917021310344,0.02176404339111,0.885571443302806,2.35640189545361e-05,0.00578569123896446
"TPM4",0.00732344291984205,0.00678813346516479,2.59957756902628e-05,0.637960140445912,7.87180523058669e-07,0.895417453249581,1.9238957020292e-06,0.74251610814254,1.48698902832656e-05,0.394798573931619,5.27391573923452e-06,0.00151072656596188
"DCN",3.74146828733839e-13,0.0441198755451104,1.43762757217838e-16,0.727242297408902,4.99611307130344e-15,0.919740749387488,1.43021621770145e-11,0.737116610231401,1.06164024938454e-08,0.0593561932172438,1.55431223447522e-15,3.25216364501932e-12
"RPS27",6.39255462527671e-08,0.00049714598994216,4.52994463583469e-09,0.948725703554066,2.56727193823259e-07,0.790884474114004,1.73029115940138e-05,0.882407141631354,7.56966907681586e-05,0.000438214829898134,4.16030663252798e-08,1.90676865177817e-05
"CTSD",3.61639538058876e-09,0.278029803857357,1.27175409927375e-12,0.97262042046901,3.80391631344002e-13,0.650066736080599,6.04447705340096e-12,0.608944526635895,3.93555006934786e-10,0.000206428074084422,2.79065659469779e-12,3.05221893468787e-09
