,x,y,total_counts
24.967x17.011,24.967,17.011,1565
21.815x17.836,21.815,17.836,731
20.945x17.896,20.945,17.896,2625
7.924x17.928,7.924,17.928,531
9.861x17.931,9.861,17.931,867
26.974x17.926,26.974,17.926,933
27.959x17.923,27.959,17.923,5463
19.947x17.924,19.947,17.924,7972
12.029x17.967,12.029,17.967,4077
18.92x17.932,18.92,17.932,7800
23.031x17.956,23.031,17.956,1257
24.042x17.945,24.042,17.945,1288
16.908x17.951,16.908,17.951,1308
17.895x17.949,17.895,17.949,1677
8.948x17.955,8.948,17.955,1448
15.934x17.959,15.934,17.959,1722
12.999x17.964,12.999,17.964,812
13.95x17.967,13.95,17.967,1232
25.943x17.973,25.943,17.973,1796
24.993x17.972,24.993,17.972,1688
14.936x17.987,14.936,17.987,13839
21.841x18.845,21.841,18.845,918
13.049x18.94,13.049,18.94,698
20.947x18.93,20.947,18.93,748
24.067x18.934,24.067,18.934,499
20.002x18.943,20.002,18.943,1163
23.052x18.956,23.052,18.956,878
27.94x18.942,27.94,18.942,985
11.999x18.982,11.999,18.982,4014
17.864x18.951,17.864,18.951,982
26.968x18.952,26.968,18.952,2107
16.921x18.963,16.921,18.963,622
24.977x18.95,24.977,18.95,945
25.948x18.959,25.948,18.959,2052
18.887x18.959,18.887,18.959,2199
13.909x18.965,13.909,18.965,757
15.948x18.987,15.948,18.987,897
14.926x18.999,14.926,18.999,2830
21.886x19.83,21.886,19.83,1257
23.058x19.956,23.058,19.956,835
18.964x19.945,18.964,19.945,729
26.946x19.955,26.946,19.955,579
13.944x19.962,13.944,19.962,753
17.855x19.956,17.855,19.956,744
24.065x19.964,24.065,19.964,636
25.957x19.97,25.957,19.97,1460
20.913x20.004,20.913,20.004,652
12.951x20.01,12.951,20.01,410
19.98x20.008,19.98,20.008,722
14.988x20.004,14.988,20.004,1057
15.896x20.044,15.896,20.044,852
25.02x20.153,25.02,20.153,1723
23.077x20.97,23.077,20.97,1065
20.116x20.962,20.116,20.962,560
17.867x20.954,17.867,20.954,366
